Season,Theme,Artist,Song Title,Link,Author,Author ID,Submission Timestamp
Season 6,Tertiary Album,Little Mix,"Secret Love Song, Pt. II",https://open.spotify.com/track/0NyRSfiU6ri61vku1xiLoD?si=2mAhXwbwS6ScjWg7xzrKXQ,physicalfeathwasa,6.70645E+17,2023-12-14 19:15:49.530000+00:00
Season 6,Tertiary Album,Azealia Banks,The Big Big Beat,https://open.spotify.com/track/66O0pFEFp23dgYjoAd6RKK?si=BwS34_v3Q5mPe_LkUUupJQ,444fvzbear,713106279375306853,2023-12-14 20:09:06.668000+00:00
Season 6,Tertiary Album,Lorde,Solar Power,https://open.spotify.com/track/7s2kWabRM60W9I61HpKg8C?si=XdKrC0cqQOyKqWvvZNeUYA,xandrr,211687035356839936,2023-12-15 03:39:46.920000+00:00
Season 6,Tertiary Album,Red Velvet,러시안 룰렛 Russian Roulette,https://open.spotify.com/track/5HiSc2ZCGn8L3cH3qSwzBT?si=25YBKTSMQBS6rIPZKP8r7A,owains,360937517500989442,2023-12-15 06:50:33.510000+00:00
Season 6,Tertiary Album,Blondie,11:59,https://open.spotify.com/track/0yAi8iKRgy90VuNNZd3zhz?si=4Mx8gYKjRVG0uDQDcR3GcQ,katie4lifes,814577329849630722,2023-12-15 19:57:54.396000+00:00
Season 6,Tertiary Album,HYOLYN,BAE,https://open.spotify.com/track/30ME6aIUFStXK90Y4wSOBd?si=ecf2f464846546b3,luvwon,796770331045265448,2023-12-15 23:02:08.891000+00:00
Season 6,Hunger Games Districts!,Radiohead,Fake Plastic Trees,https://open.spotify.com/track/73CKjW3vsUXRpy3NnX4H7F?si=2d028d72b6914b1e,pinkvroom,448119512047419393,2023-12-16 01:32:29.541000+00:00
Season 6,Hunger Games Districts!,Sade,Pearls,https://open.spotify.com/track/4J7s7j5ulwElPG7HaGQDXR?si=8C0zp7ChRIeAmbNy2Y-Ycw,skinniana,723481658208026647,2023-12-16 01:36:38.742000+00:00
Season 6,Hunger Games Districts!,Karla Grunewaldt,El Camino,https://open.spotify.com/track/0ybEzCUuARwurpcniUGt2y?si=c5d516dd2400472b,wynterdelrey,834964241844535316,2023-12-16 01:41:51.073000+00:00
Season 6,Hunger Games Districts!,(G)I-DLE,MY BAG,https://open.spotify.com/track/1t8sqIScEIP0B4bQzBuI2P?si=940f4a64026d49bf,jjaz.zy,749112223322079294,2023-12-16 02:06:40.117000+00:00
Season 6,Hunger Games Districts!,Azealia Banks,Anna Wintour,https://open.spotify.com/track/5Pm7KrSKkDj37SZoMYyXDX?si=bOOFfeZwSzOatwhl3ct9-w,444fvzbear,713106279375306853,2023-12-16 02:09:29.869000+00:00
Season 6,Hunger Games Districts!,Kate Bush,Breathing - 2018 Remaster,https://open.spotify.com/track/50dndMFNoQcxGG8iN2HVbd?si=e7643903b3e94b31,gypsysroseblanchard,490731705792200715,2023-12-16 03:17:49.992000+00:00
Season 6,Hunger Games Districts!,Arctic Monkeys,505,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS?si=FWhC-8RVRU6A9ghqblAYHg,wentwrth,1024779800319103056,2023-12-16 03:33:39.133000+00:00
Season 6,Hunger Games Districts!,underscores,The fish song,https://open.spotify.com/track/6LJUlREHwzx1Z2BcqOdJSW?si=a65b08b58ce34e7a,hamadsversion,311132349008052226,2023-12-16 03:46:34.278000+00:00
Season 6,Hunger Games Districts!,Lorde,400 Lux,https://open.spotify.com/track/6rjtB7KSIiJ6v9vrACMlqF?si=aWmSQKzMSgaglpO-sC-8KA,xandrr,211687035356839936,2023-12-16 07:40:38.897000+00:00
Season 6,Hunger Games Districts!,Red Velvet,In & Out,https://open.spotify.com/track/2iYnEfKsAsE86Yb9mS4b3E?si=63b63bfb14384641,owains,360937517500989442,2023-12-16 08:20:55.128000+00:00
Season 6,Hunger Games Districts!,TOMORROW X TOGETHER,CROWN,https://open.spotify.com/track/0EmYZZ8OqeALedVhijSjsg?si=fda2691f8e6245f2,icechu,968040938888921148,2023-12-16 12:54:58.563000+00:00
Season 6,Hunger Games Districts!,MF DOOM,Beef Rapp,https://open.spotify.com/track/3dst21BU1yo7leS5njO5dC?si=2d7859dfe53c483c,dbhp,623164651563253770,2023-12-16 17:04:10.593000+00:00
Season 6,Hunger Games Districts!,Little Mix,Wasabi,https://open.spotify.com/track/7IOuCLt770D8v0u3SVaDeI?si=LFXaVmKJSg2vXCJd-RN_fA,physicalfeathwasa,6.70645E+17,2023-12-16 17:16:32.063000+00:00
Season 6,Hunger Games Districts!,Billie Marten,Creature of Mine,https://open.spotify.com/track/3WNU4N7jsqV8YpS2K9kL1E?si=KVEI9IL7TL2yYNCvByXlEw,madephine,329391618824208385,2023-12-16 18:23:51.365000+00:00
Season 6,Hunger Games Districts!,Céline Dion,Next Plane Out,https://open.spotify.com/track/1p9CqOzaTceVjCy2DR1Tn0?si=vwX9q1izRVahhkh8zQOj7g,jessicaendedtaeyeon,814159300301160470,2023-12-16 19:43:58.363000+00:00
Season 6,Hunger Games Districts!,Solange,Fuck the Industry,https://open.spotify.com/track/6se3o3ELSaQuYX3pxnxyw3?si=4c8f6efdf44f480d,dillchps,779905873724178455,2023-12-16 20:44:25.666000+00:00
Season 6,Hunger Games Districts!,Blondie,Fan Mail - Remastered,https://open.spotify.com/track/4BMbD4jHKpmukraBqxUWKJ?si=RNEnxm6sR-eh_KemO9pe0A,katie4lifes,814577329849630722,2023-12-16 20:53:20.391000+00:00
Season 6,Hunger Games Districts!,Lesley Gore,Lilacs And Violets,https://open.spotify.com/track/1kWtoN7JKeei6F22NBPuNM?si=XyIcgHpqQGuUov9yQ4gftg,vexciine,651969294409793558,2023-12-16 21:09:33.181000+00:00
Season 6,Hunger Games Districts!,Paulina Rubio,Causa Y Efecto,https://www.youtube.com/watch?v=R9g-mZNuA4s&ab_channel=PaulinaRubioVEVO,miss_plasma,1103156416841269250,2023-12-16 22:19:18.248000+00:00
Season 6,Hunger Games Districts!,Kenia OS,Joder,https://youtu.be/WuMLQ1E4iSw?si=AFbOSO5_HDVomEeB,lailauchis,983146593198952550,2023-12-16 22:20:46.248000+00:00
Season 6,The Hero's Journey,Karla Grunewaldt,No Es el Final,https://open.spotify.com/track/3Am7bqZEtNrRBNZaaHYz27?si=5e23d78c18614773,wynterdelrey,834964241844535316,2023-12-17 01:52:15.755000+00:00
Season 6,The Hero's Journey,Little Mix,The Cure,https://open.spotify.com/track/1HiNWMc7vmFVM5mdwrNKnO?si=2f7864976ea343a4,physicalfeathwasa,6.70645E+17,2023-12-17 01:59:12.839000+00:00
Season 6,The Hero's Journey,Madvillain,All Caps,https://open.spotify.com/track/21O0XXPEWPtePt5RMY93Ob?si=Qi9ymPLeTaS6PqwHecIpvg,dbhp,623164651563253770,2023-12-17 02:05:41.252000+00:00
Season 6,The Hero's Journey,Paulina Rubio,El Ultimo Adios,https://www.youtube.com/watch?v=LAqym0ynbHg&ab_channel=PaulinaRubio-Topic,miss_plasma,1103156416841269250,2023-12-17 02:12:51.884000+00:00
Season 6,The Hero's Journey,(G)I-DLE,VILLAIN DIES,https://open.spotify.com/track/6adPuBjUw3Zh6wK27d8Rgv?si=b38deae598dc4568,jjaz.zy,749112223322079294,2023-12-17 02:22:59.231000+00:00
Season 6,The Hero's Journey,underscores,Geez louise (with henhouse!),https://open.spotify.com/track/3v1awewJB3C5QAC8hgggHK?si=55bd36ae0bb04f75,hamadsversion,311132349008052226,2023-12-17 04:09:25.731000+00:00
Season 6,The Hero's Journey,Kate Bush,There Goes A Tenner - 2018 Remaster,https://open.spotify.com/track/2ZspDPniDx10AB91Hoc84t?si=235413b6636b4d45,gypsysroseblanchard,490731705792200715,2023-12-17 06:17:08.484000+00:00
Season 6,The Hero's Journey,Lorde,California,https://open.spotify.com/track/0ZJLssJk51m0r4j9OvXcju?si=c7ddf002e2ad45fb,xandrr,211687035356839936,2023-12-17 07:28:26.005000+00:00
Season 6,The Hero's Journey,Lesley Gore,Judy's Turn To Cry,https://open.spotify.com/track/5Vb0SgInHwS0tq46dApdBY?si=6443906a8ae24b5d,vexciine,651969294409793558,2023-12-17 20:07:36.936000+00:00
Season 6,The Hero's Journey,Billie Marten,Lionhearted,https://open.spotify.com/track/75jrL6pCF8W0BaMfkWhoiC?si=vkNn0atMRnOq_Kk-IF9Z1g,madephine,329391618824208385,2023-12-17 20:12:31.642000+00:00
Season 6,The Hero's Journey,Arctic Monkeys,Only Ones Who Know,https://open.spotify.com/track/7ABWRukVQcXrIrDKDx5Gek?si=G_MAnbLzSnWcJ9i7r4E4ow,wentwrth,1024779800319103056,2023-12-17 22:15:59.463000+00:00
Season 6,The Hero's Journey,,,https://youtu.be/RODioSM4gLY?si=TMlM5uiQP8l7qd8Y,wentwrth,1024779800319103056,2023-12-17 22:15:59.463000+00:00
Season 6,The Hero's Journey,Solange,Naive,https://open.spotify.com/track/0K02tn1iPgxbHLh3BhJl2F?si=c0d05ef1184d4a4f,dillchps,779905873724178455,2023-12-18 20:27:02.086000+00:00
Season 6,The Hero's Journey,Red Velvet,Bad Boy,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc?si=bb2ff41dc5cc4d6f,owains,360937517500989442,2023-12-19 04:35:23.989000+00:00
Season 6,The Hero's Journey,TOMORROW X TOGETHER,PUMA,https://open.spotify.com/track/4dJThL3k5tMRdduAiARM4R?si=0e1f3f2212a14973,icechu,968040938888921148,2023-12-19 05:13:40.347000+00:00
Season 6,The Hero's Journey,Sade,Jezebel,https://open.spotify.com/track/0mMyCFOqotvTPf8esrLM7K?si=c3fDezrWTZG3C7U2OMWVPw,skinniana,723481658208026647,2023-12-19 16:40:02.111000+00:00
Season 6,The Hero's Journey,Azealia Banks,Treasure Island,https://open.spotify.com/track/1veln25bYq9ubX9U2Yan7H?si=43I2xrMdQlar8bEOjQce3A,444fvzbear,713106279375306853,2023-12-19 20:49:21.065000+00:00
Season 6,The Hero's Journey,Blondie,The Hunter Gets Captured By The Game - Remastered,https://open.spotify.com/track/71qGNsjmeMtKMAVcSycPDb?si=Ybpyumw9REexqI5DTEbEJA,katie4lifes,814577329849630722,2023-12-19 21:22:43.720000+00:00
Season 6,The Hero's Journey,Céline Dion,Just Walk Away - Bonus Track,https://open.spotify.com/track/1SCsL0vE4W3N7n9HiG4q2r?si=NNOx2u2HSzOJO1oVPgctvw,jessicaendedtaeyeon,814159300301160470,2023-12-19 23:01:39.707000+00:00
Season 6,Top Hits,Little Mix,Love Me Like You,https://open.spotify.com/track/6L2uVVPJA9WcDc7zCZ4DHN?si=b30bb9e6e74b42b7,physicalfeathwasa,6.70645E+17,2023-12-20 00:50:33.338000+00:00
Season 6,Top Hits,Sade,Is It a Crime,https://open.spotify.com/track/1XR1X1VTyTOVdPgH18RdME?si=FlrN_p03SKG_nV9ALgUwfg,skinniana,723481658208026647,2023-12-20 00:54:41.922000+00:00
Season 6,Top Hits,Red Velvet,Psycho,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK?si=7af0885c84324385,owains,360937517500989442,2023-12-20 00:56:27.144000+00:00
Season 6,Top Hits,Lesley Gore,It's My Party,https://open.spotify.com/track/1Pq47iFLC5U7j8xeNiNcuS?si=57b61ed7688e4a94,vexciine,651969294409793558,2023-12-20 00:58:39.611000+00:00
Season 6,Top Hits,Blondie,Maria,https://open.spotify.com/track/7bOYOD0d7ByMTXvJnQVl8d?si=CwMQ_UySQ6W_Km7swKqYtQ,katie4lifes,814577329849630722,2023-12-20 00:58:57.977000+00:00
Season 6,Top Hits,Kate Bush,Running Up That Hill (A Deal With God),https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO?si=c7ef9f40f4eb47e7,gypsysroseblanchard,490731705792200715,2023-12-20 01:01:50.452000+00:00
Season 6,Top Hits,(G)I-DLE,Allergy,https://open.spotify.com/track/38MKW2tQHtyO8djIOKlEFF?si=a1fc07dcf7da483f,jjaz.zy,749112223322079294,2023-12-20 01:14:39.207000+00:00
Season 6,Top Hits,Arctic Monkeys,Why'd You Only Call Me When You're High?,https://open.spotify.com/track/086myS9r57YsLbJpU0TgK9?si=nfZmVt_XTeKNmYGXKWyAaA,wentwrth,1024779800319103056,2023-12-20 01:18:19.297000+00:00
Season 6,Top Hits,Karla Grunewaldt,Luz,https://open.spotify.com/track/0eZlU6DulMw6WbfzNszuMj?si=54e4b593d29642c4,wynterdelrey,834964241844535316,2023-12-20 01:20:07.355000+00:00
Season 6,Top Hits,Solange,Losing You,https://open.spotify.com/track/29kMmvimeOyKb60VEX7aj5?si=92d27bdf69ad4f8e,dillchps,779905873724178455,2023-12-20 04:07:06.564000+00:00
Season 6,Top Hits,underscores,Spoiled little brat,https://open.spotify.com/track/724utiMbqUfT1g3tqbfQYu?si=72f01d5d49984f51,hamadsversion,311132349008052226,2023-12-20 06:24:44.717000+00:00
Season 6,Top Hits,Billie Marten,This Is How We Move,https://open.spotify.com/track/7BDBOaBevxxjq2VN3WrUyS?si=iwrmA8ZcSk2fRnIAVkT8XQ,madephine,329391618824208385,2023-12-20 06:34:04.095000+00:00
Season 6,Top Hits,TOMORROW X TOGETHER,Happily Ever After,https://open.spotify.com/track/29r5gr7b0f710smqMrm7pP?si=312706ea1ba84c21,icechu,968040938888921148,2023-12-20 13:37:36.918000+00:00
Season 6,Top Hits,MF DOOM,One Beer,https://open.spotify.com/track/4BnrGx9tWNF8aiXl1UhDBa?si=b20b82eeb1c14684,dbhp,623164651563253770,2023-12-20 13:57:45.784000+00:00
Season 6,Top Hits,Lorde,Liability,https://open.spotify.com/track/6Kkt27YmFyIFrcX3QXFi2o?si=kCDZt_YNTHe6OiGheW2JYA,xandrr,211687035356839936,2023-12-20 19:39:29.704000+00:00
Season 6,Poopla's Holiday in Harmony Extravaganza,,,https://www.youtube.com/watch?v=3SldDENZ_jU,gypsysroseblanchard,490731705792200715,2023-12-21 04:32:25.621000+00:00
Season 6,Poopla's Holiday in Harmony Extravaganza,Arctic Monkeys,Batphone,https://open.spotify.com/track/7aiKdAM9WYW3GzWSA9OXIl?si=I5EBvz9sSuuuN99u1L4Htg,wentwrth,1024779800319103056,2023-12-21 06:34:21.679000+00:00
Season 6,Poopla's Holiday in Harmony Extravaganza,underscores,Your favorite sidekick,https://open.spotify.com/track/0VNjaRcmIowjLbPtYDhLuh?si=f48f074772e343dd,hamadsversion,311132349008052226,2023-12-21 06:35:12.298000+00:00
Season 6,Poopla's Holiday in Harmony Extravaganza,TOMORROW X TOGETHER,Ice Cream,https://open.spotify.com/track/5OvpZeRmZEBPp7Vgp0n6oj?si=6d7553f95b884e4f,icechu,968040938888921148,2023-12-21 10:13:49.764000+00:00
Season 6,Poopla's Holiday in Harmony Extravaganza,(G)I-DLE,I Want That,https://open.spotify.com/track/34pKV56b6d7Nz1l6av1nZ1?si=fb3ba79c08464739,jjaz.zy,749112223322079294,2023-12-21 13:17:22.643000+00:00
Season 6,Poopla's Holiday in Harmony Extravaganza,,,https://youtu.be/3Jh_3x7Neyg?si=q3AK3nxnVuRgrG-j,dbhp,623164651563253770,2023-12-21 13:19:38.310000+00:00
Season 6,Poopla's Holiday in Harmony Extravaganza,,,https://youtu.be/Q_QqhgpC4hU?si=wBU9_BegHIkdV04I,vexciine,651969294409793558,2023-12-21 17:14:50.011000+00:00
Season 6,Poopla's Holiday in Harmony Extravaganza,Billie Marten,White Christmas,https://open.spotify.com/track/6E6OI395lJ3uQnz9w8bqTD?si=0gERNZAiS7-GTtPoYSIICA,madephine,329391618824208385,2023-12-21 17:35:30.321000+00:00
Season 6,Poopla's Holiday in Harmony Extravaganza,Little Mix,One I've Been Missing,https://open.spotify.com/track/632gXr9GJAsy7UBd7Dg7G4?si=dE3gzuUlQvKN1a3Qf8Ytqg,physicalfeathwasa,6.70645E+17,2023-12-21 19:33:05.768000+00:00
Season 6,Poopla's Holiday in Harmony Extravaganza,Karla Grunewaldt,Quererte como lo haces tú,https://open.spotify.com/track/2RFn1rTbLOBbkiGlfOGuYE?si=47c9db2bc613442b,wynterdelrey,834964241844535316,2023-12-21 23:30:13.740000+00:00
Season 6,Poopla's Holiday in Harmony Extravaganza,Blondie,Kidnapper - Remastered,https://open.spotify.com/track/1sEG0kcqs9BpJEnehnNUie?si=HLlZdlWAR1-g-_IOBfrRLQ,katie4lifes,814577329849630722,2023-12-22 06:15:07.289000+00:00
Season 6,Poopla's Holiday in Harmony Extravaganza,Lorde,Fallen Fruit,https://open.spotify.com/track/5iUnomffoLeQsdlY2k5TDU?si=Y4IYCMn4SmG9YflM0actWQ,xandrr,211687035356839936,2023-12-22 07:43:19.456000+00:00
Season 6,Poopla's Holiday in Harmony Extravaganza,Red Velvet,Feel My Rhythm,https://open.spotify.com/track/2oBMZYteeO8DyXV9gDx6Za?si=RSplrtoqROSa7qONRYgZsA,owains,360937517500989442,2023-12-22 10:05:25.168000+00:00
Season 6,Poopla's Holiday in Harmony Extravaganza,Sade,Babyfather,https://open.spotify.com/track/10kh9WpO4XlJWhJKfW4I7t?si=NBdH2K1LRESmJiJNSvkp-w,skinniana,723481658208026647,2023-12-22 19:38:35.291000+00:00
Season 6,Spirit of the Rebellion,Little Mix,Salute,https://open.spotify.com/track/1iupzLgX4O0Qosb4yDpYoz?si=d44476a4771c4666,physicalfeathwasa,6.70645E+17,2023-12-23 22:47:24.319000+00:00
Season 6,Spirit of the Rebellion,Satanicpornocultshop,Suicidal Empire,https://www.youtube.com/watch?v=sCdYPeERrFY,fotzig,473210620729229332,2023-12-23 23:05:08.879000+00:00
Season 6,Spirit of the Rebellion,Bebe Rexha,I'm Gonna Show You Crazy,https://open.spotify.com/track/5LtNBCM2ve0SxP0dlRVvMu?si=H28X0S5GQJa4y-PFGKiwSw,ehvann,558651766153936896,2023-12-24 01:29:33.371000+00:00
Season 6,Spirit of the Rebellion,underscores,Old money bitch,https://open.spotify.com/track/69G9nIj6Pb1HfqFXa9DGFs?si=2ab420c72ffc4fa3,hamadsversion,311132349008052226,2023-12-24 08:05:35.947000+00:00
Season 6,Spirit of the Rebellion,Radiohead,Electioneering,https://open.spotify.com/track/0gTRROuntlrPQ64W3J2Etv?si=bSJYlvycSyi7LWUUcIGG7A,pinkvroom,448119512047419393,2023-12-24 17:57:00.878000+00:00
Season 6,Spirit of the Rebellion,(G)I-DLE,Nxde,https://open.spotify.com/track/6NnCWIWV740gP7DQ8kqdIE?si=8ca9b7f4d9c44748,jjaz.zy,749112223322079294,2023-12-24 18:37:02.604000+00:00
Season 6,Spirit of the Rebellion,Viktor Vaughn,A Dead Mouse,https://open.spotify.com/track/4xAdZnFbNbqGmlke315jcP?si=4dHEQPozSF-ehhqzFd6qyQ,dbhp,623164651563253770,2023-12-24 21:38:55.424000+00:00
Season 6,Spirit of the Rebellion,Karla Grunewaldt,Desatar,https://open.spotify.com/track/2XC4fg0osqV2IlIlX9eNZa?si=cd6f549494594b41,wynterdelrey,834964241844535316,2023-12-24 22:11:28.720000+00:00
Season 6,Spirit of the Rebellion,Queen Adreena,FM Doll,https://youtu.be/m8HaDBEOZpI?si=n7j0WvErTYlZYsof,daphnail,801586284581748776,2023-12-27 20:31:46.709000+00:00
Season 6,Spirit of the Rebellion,Namasenda,What U Got,https://open.spotify.com/track/1FWxYjIZj0bUh6Y5WHYBaT?si=CNjIVPpRSSW0QLrwR6sJmQ,usexua,746137781939601430,2023-12-29 18:52:21.454000+00:00
Season 6,Spirit of the Rebellion,Kenia Os,Tu Peor Pesadilla,https://youtu.be/dknqVavft48?si=C4exA99rZRIm3Uju,lailauchis,983146593198952550,2023-12-29 19:35:34.027000+00:00
Season 6,Spirit of the Rebellion,Billie Marten,Bird,https://open.spotify.com/track/6DzvC1VHpyTFfLBbAYBa7W?si=kYRbKbImRm2neQ2Dmg_rWw,madephine,329391618824208385,2023-12-29 20:20:27.540000+00:00
Season 6,Spirit of the Rebellion,Solange,Almeda,https://open.spotify.com/track/6IAgarq2wDeYzpsY2Kx0Hw?si=22a6fb08d438402f,dillchps,779905873724178455,2023-12-29 21:08:02.329000+00:00
Season 6,Spirit of the Rebellion,Red Velvet,Zimzalabim,https://open.spotify.com/track/0GUbhhI5fRx7BlqlqlhjuB?si=-0JZ_TgASce9XQpdyHcXkg,owains,360937517500989442,2023-12-29 23:01:14.352000+00:00
Season 6,Spirit of the Rebellion,Kate Bush,Night Of The Swallow - 2018 Remaster,https://open.spotify.com/track/7HrBbiOkeJ9ZT06iRIvQoK?si=83cbd2de738748fb,gypsysroseblanchard,490731705792200715,2023-12-30 03:23:24.863000+00:00
Season 6,Spirit of the Rebellion,TOMORROW X TOGETHER,Good Boy Gone Bad,https://open.spotify.com/track/1HsSIPLTQT354yJcQGfEY3?si=21025f1e70f8461c,icechu,968040938888921148,2023-12-30 08:23:00.573000+00:00
Season 6,Spirit of the Rebellion,HYOLYN,Waka Boom,https://youtu.be/XRYdYKfOMZg?si=GWdTxmHOFXJgpaIH),luvwon,796770331045265448,2023-12-30 09:31:57.069000+00:00
